DATE,GDPCA,FYFSDFYGDP
1929-01-01,1191.124,NaN
1930-01-01,1089.785,0.75000
1931-01-01,1019.977,-0.54481
1932-01-01,888.414,-3.99270
1933-01-01,877.431,-4.46312
1934-01-01,972.263,-5.78387
1935-01-01,1058.836,-3.97589
1936-01-01,1195.251,-5.40704
1937-01-01,1256.503,-2.46682
1938-01-01,1214.869,-0.09867
1939-01-01,1312.365,-3.14823
1940-01-01,1428.075,-2.97352
1941-01-01,1681.049,-4.25215
1942-01-01,1998.542,-13.88152
1943-01-01,2338.761,-29.55255
1944-01-01,2524.752,-22.24369
1945-01-01,2500.057,-21.00398
1946-01-01,2209.911,-6.98947
1947-01-01,2184.614,1.68188
1948-01-01,2274.627,4.50401
1949-01-01,2261.928,0.20976
1950-01-01,2458.532,-1.11922
1951-01-01,2656.320,1.86577
1952-01-01,2764.803,-0.42537
1953-01-01,2894.411,-1.69952
1954-01-01,2877.708,-0.29808
1955-01-01,3083.026,-0.73660
1956-01-01,3148.765,0.90063
1957-01-01,3215.065,0.73634
1958-01-01,3191.216,-0.58482
1959-01-01,3412.421,-2.54637
1960-01-01,3500.272,0.05633
1961-01-01,3590.066,-0.61016
1962-01-01,3810.124,-1.22013
1963-01-01,3976.142,-0.76933
1964-01-01,4205.277,-0.89391
1965-01-01,4478.555,-0.19892
1966-01-01,4773.931,-0.47381
1967-01-01,4904.864,-1.03320
1968-01-01,5145.914,-2.80322
1969-01-01,5306.594,0.33072
1970-01-01,5316.391,-0.27153
1971-01-01,5491.445,-2.06287
1972-01-01,5780.048,-1.92173
1973-01-01,6106.371,-1.10207
1974-01-01,6073.363,-0.41373
1975-01-01,6060.875,-3.31328
1976-01-01,6387.437,-4.12810
1977-01-01,6682.804,-2.65071
1978-01-01,7052.711,-2.60331
1979-01-01,7275.999,-1.58740
1980-01-01,7257.316,-2.64444
1981-01-01,7441.485,-2.52034
1982-01-01,7307.314,-3.86247
1983-01-01,7642.266,-5.87675
1984-01-01,8195.295,-4.69382
1985-01-01,8537.004,-4.97777
1986-01-01,8832.611,-4.88764
1987-01-01,9137.745,-3.14054
1988-01-01,9519.427,-3.01988
1989-01-01,9869.003,-2.74794
1990-01-01,10055.129,-3.74717
1991-01-01,10044.238,-4.41868
1992-01-01,10398.046,-4.52478
1993-01-01,10684.179,-3.76441
1994-01-01,11114.647,-2.83113
1995-01-01,11413.012,-2.16856
1996-01-01,11843.599,-1.35111
1997-01-01,12370.299,-0.25895
1998-01-01,12924.876,0.77563
1999-01-01,13543.774,1.32505
2000-01-01,14096.033,2.33507
2001-01-01,14230.726,1.21831
2002-01-01,14472.712,-1.45683
2003-01-01,14877.312,-3.34776
2004-01-01,15449.757,-3.43126
2005-01-01,15987.957,-2.47934
2006-01-01,16433.148,-1.81994
2007-01-01,16762.445,-1.12336
2008-01-01,16781.485,-3.09905
2009-01-01,16349.110,-9.76470
2010-01-01,16789.750,-8.69617
2011-01-01,17052.410,-8.40266
2012-01-01,17442.759,-6.68288
2013-01-01,17812.167,-4.07905
2014-01-01,18261.714,-2.79085
2015-01-01,18799.622,-2.44364
2016-01-01,19141.672,-3.15411
2017-01-01,19612.102,-3.45766
2018-01-01,20193.896,-3.83776
2019-01-01,20692.087,-4.64856
2020-01-01,20234.074,-14.87333
2021-01-01,21407.692,-12.25109
2022-01-01,21822.037,-5.50184
,,
