DATE,GDPC1,GFDEGDQ188S
1947-01-01,2182.681,
1947-04-01,2176.892,
1947-07-01,2172.432,
1947-10-01,2206.452,
1948-01-01,2239.682,
1948-04-01,2276.690,
1948-07-01,2289.770,
1948-10-01,2292.364,
1949-01-01,2260.807,
1949-04-01,2253.128,
1949-07-01,2276.424,
1949-10-01,2257.352,
1950-01-01,2346.104,
1950-04-01,2417.682,
1950-07-01,2511.127,
1950-10-01,2559.214,
1951-01-01,2593.967,
1951-04-01,2638.898,
1951-07-01,2693.259,
1951-10-01,2699.156,
1952-01-01,2727.954,
1952-04-01,2733.800,
1952-07-01,2753.517,
1952-10-01,2843.941,
1953-01-01,2896.811,
1953-04-01,2919.206,
1953-07-01,2902.785,
1953-10-01,2858.845,
1954-01-01,2845.192,
1954-04-01,2848.305,
1954-07-01,2880.482,
1954-10-01,2936.852,
1955-01-01,3020.746,
1955-04-01,3069.910,
1955-07-01,3111.379,
1955-10-01,3130.068,
1956-01-01,3117.922,
1956-04-01,3143.694,
1956-07-01,3140.874,
1956-10-01,3192.570,
1957-01-01,3213.011,
1957-04-01,3205.970,
1957-07-01,3237.386,
1957-10-01,3203.894,
1958-01-01,3120.724,
1958-04-01,3141.224,
1958-07-01,3213.884,
1958-10-01,3289.032,
1959-01-01,3352.129,
1959-04-01,3427.667,
1959-07-01,3430.057,
1959-10-01,3439.832,
1960-01-01,3517.181,
1960-04-01,3498.246,
1960-07-01,3515.385,
1960-10-01,3470.278,
1961-01-01,3493.703,
1961-04-01,3553.021,
1961-07-01,3621.252,
1961-10-01,3692.289,
1962-01-01,3758.147,
1962-04-01,3792.149,
1962-07-01,3838.776,
1962-10-01,3851.421,
1963-01-01,3893.482,
1963-04-01,3937.183,
1963-07-01,4023.755,
1963-10-01,4050.147,
1964-01-01,4135.553,
1964-04-01,4180.592,
1964-07-01,4245.918,
1964-10-01,4259.046,
1965-01-01,4362.111,
1965-04-01,4417.225,
1965-07-01,4515.427,
1965-10-01,4619.458,
1966-01-01,4731.888,40.33999
1966-04-01,4748.046,39.26763
1966-07-01,4788.254,39.62091
1966-10-01,4827.537,39.51977
1967-01-01,4870.299,39.20383
1967-04-01,4873.287,38.03292
1967-07-01,4919.392,38.82145
1967-10-01,4956.477,39.10231
1968-01-01,5057.553,38.42951
1968-04-01,5142.033,36.96379
1968-07-01,5181.859,37.30897
1968-10-01,5202.212,36.98532
1969-01-01,5283.597,36.19577
1969-04-01,5299.625,34.97403
1969-07-01,5334.600,35.01946
1969-10-01,5308.556,35.46954
1970-01-01,5300.652,35.38879
1970-04-01,5308.164,34.67329
1970-07-01,5357.077,34.86717
1970-10-01,5299.672,35.74822
1971-01-01,5443.619,34.50345
1971-04-01,5473.059,34.36089
1971-07-01,5518.072,35.00694
1971-10-01,5531.032,35.63237
1972-01-01,5632.649,34.72622
1972-04-01,5760.470,33.67383
1972-07-01,5814.854,33.62447
1972-10-01,5912.220,33.74758
1973-01-01,6058.544,33.29287
1973-04-01,6124.506,32.34466
1973-07-01,6092.301,32.12455
1973-10-01,6150.131,31.77379
1974-01-01,6097.258,31.76449
1974-04-01,6111.751,30.99462
1974-07-01,6053.978,30.86269
1974-10-01,6030.464,30.79768
1975-01-01,5957.035,31.53604
1975-04-01,5999.610,32.27817
1975-07-01,6102.326,32.38043
1975-10-01,6184.530,32.73010
1976-01-01,6323.649,32.98513
1976-04-01,6370.025,33.49464
1976-07-01,6404.895,33.64333
1976-10-01,6451.177,33.78753
1977-01-01,6527.703,33.65136
1977-04-01,6654.466,32.80422
1977-07-01,6774.457,32.98791
1977-10-01,6774.592,33.21873
1978-01-01,6796.260,33.50120
1978-04-01,7058.920,32.12444
1978-07-01,7129.915,32.21407
1978-10-01,7225.750,31.86206
1979-01-01,7238.727,31.53601
1979-04-01,7246.454,31.06277
1979-07-01,7300.281,30.98402
1979-10-01,7318.535,31.02615
1980-01-01,7341.557,30.94982
1980-04-01,7190.289,31.37303
1980-07-01,7181.743,31.77687
1980-10-01,7315.677,31.15700
1981-01-01,7459.022,30.87284
1981-04-01,7403.745,30.70875
1981-07-01,7492.405,30.60333
1981-10-01,7410.768,31.35587
1982-01-01,7295.631,32.41298
1982-04-01,7328.912,32.40213
1982-07-01,7300.896,33.92530
1982-10-01,7303.817,35.18156
1983-01-01,7400.066,35.82911
1983-04-01,7568.456,36.87167
1983-07-01,7719.746,37.33110
1983-10-01,7880.794,37.17553
1984-01-01,8034.847,37.45447
1984-04-01,8173.670,37.72687
1984-07-01,8252.465,38.49586
1984-10-01,8320.199,40.08547
1985-01-01,8400.820,40.44121
1985-04-01,8474.787,41.31983
1985-07-01,8604.220,41.55909
1985-10-01,8668.188,43.78715
1986-01-01,8749.127,44.07415
1986-04-01,8788.524,45.30682
1986-07-01,8872.601,46.12536
1986-10-01,8920.193,47.55286
1987-01-01,8986.367,47.57835
1987-04-01,9083.256,48.04867
1987-07-01,9162.024,48.11650
1987-10-01,9319.332,48.55667
1988-01-01,9367.502,49.03151
1988-04-01,9490.594,49.08744
1988-07-01,9546.206,49.25732
1988-10-01,9673.405,49.71548
