dates,u,gdp
4/1/48,3.9,2021.9
7/1/48,3.566666667,2033.2
10/1/48,3.8,2035.3
1/1/49,4.033333333,2007.5
4/1/49,5,2000.8
7/1/49,6.333333333,2022.8
10/1/49,7.1,2004.7
1/1/50,6.5,2084.6
4/1/50,6.166666667,2147.6
7/1/50,5.3,2230.4
10/1/50,4.366666667,2273.4
1/1/51,4.066666667,2304.5
4/1/51,3.3,2344.5
7/1/51,3.1,2392.8
10/1/51,3.3,2398.1
1/1/52,3.266666667,2423.5
4/1/52,2.966666667,2428.5
7/1/52,3.066666667,2446.1
10/1/52,3.166666667,2526.4
1/1/53,2.8,2573.4
4/1/53,2.633333333,2593.5
7/1/53,2.533333333,2578.9
10/1/53,2.9,2539.8
1/1/54,4.3,2528
4/1/54,5.6,2530.7
7/1/54,5.766666667,2559.4
10/1/54,5.933333333,2609.3
1/1/55,5.066666667,2683.8
4/1/55,4.666666667,2727.5
7/1/55,4.166666667,2764.1
10/1/55,4.2,2780.8
1/1/56,4.133333333,2770
4/1/56,4.033333333,2792.9
7/1/56,4.333333333,2790.6
10/1/56,3.966666667,2836.2
1/1/57,4.233333333,2854.5
4/1/57,3.833333333,2848.2
7/1/57,4.2,2875.9
10/1/57,4.333333333,2846.4
1/1/58,5.366666667,2772.7
4/1/58,6.833333333,2790.9
7/1/58,7.4,2855.5
10/1/58,7.066666667,2922.3
1/1/59,6.133333333,2976.6
4/1/59,5.566666667,3049
7/1/59,5.066666667,3043.1
10/1/59,5.466666667,3055.1
1/1/60,5.433333333,3123.2
4/1/60,5.133333333,3111.3
7/1/60,5.333333333,3119.1
10/1/60,5.733333333,3081.3
1/1/61,6.433333333,3102.3
4/1/61,6.933333333,3159.9
7/1/61,7,3212.6
10/1/61,6.6,3277.7
1/1/62,5.966666667,3336.8
4/1/62,5.566666667,3372.7
7/1/62,5.466666667,3404.8
10/1/62,5.566666667,3418
1/1/63,5.633333333,3456.1
4/1/63,5.766666667,3501.1
7/1/63,5.7,3569.5
10/1/63,5.466666667,3595
1/1/64,5.6,3672.7
4/1/64,5.366666667,3716.4
7/1/64,5.066666667,3766.9
10/1/64,5.066666667,3780.2
1/1/65,4.9,3873.5
4/1/65,4.866666667,3926.4
7/1/65,4.533333333,4006.2
10/1/65,4.3,4100.6
1/1/66,4.033333333,4201.9
4/1/66,3.8,4219.1
7/1/66,3.833333333,4249.2
10/1/66,3.733333333,4285.6
1/1/67,3.766666667,4324.9
4/1/67,3.8,4328.7
7/1/67,3.833333333,4366.1
10/1/67,3.866666667,4401.2
1/1/68,3.8,4490.6
4/1/68,3.666666667,4566.4
7/1/68,3.633333333,4599.3
10/1/68,3.433333333,4619.8
1/1/69,3.4,4691.6
4/1/69,3.4,4706.7
7/1/69,3.466666667,4736.1
