TIME,GEO,AGE,SEX,Value
1960,Belgique,Total,Total,9128824
1960,Bulgarie,Total,Total,7829246
1960,Estonie,Total,Total,1206362
1960,France,Total,Total,NaN
1960,Italie,Total,Total,50025500
1960,Chypre,Total,Total,572000
1960,Lituanie,Total,Total,2755600
1960,Malte,Total,Total,327200
1960,Suisse,Total,Total,5295500
1960,Monaco,Total,Total,NaN
1961,Belgique,Total,Total,9178154
1961,Bulgarie,Total,Total,7905502
1961,Estonie,Total,Total,1216712
1961,France,Total,Total,NaN
1961,Italie,Total,Total,50373900
1961,Chypre,Total,Total,573566
1961,Lituanie,Total,Total,2801500
1961,Malte,Total,Total,NaN
1961,Suisse,Total,Total,5360153
1961,Monaco,Total,Total,NaN
1962,Belgique,Total,Total,9189741
1962,Bulgarie,Total,Total,7980734
1962,Estonie,Total,Total,1233441
1962,France,Total,Total,NaN
1962,Italie,Total,Total,50698800
1962,Chypre,Total,Total,575900
1962,Lituanie,Total,Total,2845600
1962,Malte,Total,Total,NaN
1962,Suisse,Total,Total,5508435
1962,Monaco,Total,Total,NaN
1963,Belgique,Total,Total,9251414
1963,Bulgarie,Total,Total,8045158
1963,Estonie,Total,Total,1249804
1963,France,Total,Total,NaN
1963,Italie,Total,Total,51060100
1963,Chypre,Total,Total,578900
1963,Lituanie,Total,Total,2881100
1963,Malte,Total,Total,NaN
1963,Suisse,Total,Total,5639195
1963,Monaco,Total,Total,NaN
1964,Belgique,Total,Total,9328126
1964,Bulgarie,Total,Total,8111132
1964,Estonie,Total,Total,1267910
1964,France,Total,Total,NaN
1964,Italie,Total,Total,51443900
1964,Chypre,Total,Total,585500
1964,Lituanie,Total,Total,2916800
1964,Malte,Total,Total,NaN
1964,Suisse,Total,Total,5749299
1964,Monaco,Total,Total,NaN
1965,Belgique,Total,Total,9428100
1965,Bulgarie,Total,Total,8177547
1965,Estonie,Total,Total,1286262
1965,France,Total,Total,NaN
1965,Italie,Total,Total,51906800
1965,Chypre,Total,Total,588400
1965,Lituanie,Total,Total,2953600
1965,Malte,Total,Total,320600
1965,Suisse,Total,Total,5829156
1965,Monaco,Total,Total,NaN
1966,Belgique,Total,Total,9499234
1966,Bulgarie,Total,Total,8230788
1966,Estonie,Total,Total,1302870
1966,France,Total,Total,NaN
1966,Italie,Total,Total,52317900
1966,Chypre,Total,Total,593200
1966,Lituanie,Total,Total,2989300
1966,Malte,Total,Total,NaN
1966,Suisse,Total,Total,5883788
1966,Monaco,Total,Total,NaN
1967,Belgique,Total,Total,9556380
1967,Bulgarie,Total,Total,8285325
1967,Estonie,Total,Total,1314323
1967,France,Total,Total,NaN
1967,Italie,Total,Total,52720100
1967,Chypre,Total,Total,597100
