TIME,GEO,Value
1983,Allemagne,NaN
1983,Estonie,NaN
1983,Irlande,13.9
1983,Grece,NaN
1983,Espagne,NaN
1983,France,7.3
1983,Italie,7.4
1983,Lituanie,NaN
1983,Luxembourg,3.4
1984,Allemagne,NaN
1984,Estonie,NaN
1984,Irlande,15.5
1984,Grece,NaN
1984,Espagne,NaN
1984,France,8.4
1984,Italie,7.9
1984,Lituanie,NaN
1984,Luxembourg,3
1985,Allemagne,NaN
1985,Estonie,NaN
1985,Irlande,16.8
1985,Grece,NaN
1985,Espagne,NaN
1985,France,8.7
1985,Italie,8.2
1985,Lituanie,NaN
1985,Luxembourg,2.9
1986,Allemagne,NaN
1986,Estonie,NaN
1986,Irlande,16.8
1986,Grece,NaN
1986,Espagne,NaN
1986,France,8.9
1986,Italie,8.9
1986,Lituanie,NaN
1986,Luxembourg,2.6
1987,Allemagne,NaN
1987,Estonie,NaN
1987,Irlande,16.6
1987,Grece,NaN
1987,Espagne,19.7
1987,France,8.9
1987,Italie,9.6
1987,Lituanie,NaN
1987,Luxembourg,2.5
1988,Allemagne,NaN
1988,Estonie,NaN
1988,Irlande,16.2
1988,Grece,NaN
1988,Espagne,18.7
1988,France,8.5
1988,Italie,9.7
1988,Lituanie,NaN
1988,Luxembourg,2
1989,Allemagne,NaN
1989,Estonie,NaN
1989,Irlande,14.7
1989,Grece,NaN
1989,Espagne,16.5
1989,France,8.1
1989,Italie,9.7
1989,Lituanie,NaN
1989,Luxembourg,1.8
1990,Allemagne,NaN
1990,Estonie,NaN
1990,Irlande,13.4
1990,Grece,NaN
1990,Espagne,15.5
1990,France,7.9
1990,Italie,8.9
1990,Lituanie,NaN
1990,Luxembourg,1.7
1991,Allemagne,5.5
1991,Estonie,NaN
1991,Irlande,14.7
1991,Grece,NaN
1991,Espagne,15.5
1991,France,8.1
1991,Italie,8.5
1991,Lituanie,NaN
1991,Luxembourg,1.6
1992,Allemagne,6.6
1992,Estonie,NaN
1992,Irlande,15.4
1992,Grece,NaN
1992,Espagne,17
1992,France,9
1992,Italie,8.8
1992,Lituanie,NaN
1992,Luxembourg,2.1
1993,Allemagne,7.8
1993,Estonie,NaN
1993,Irlande,15.6
1993,Grece,NaN
1993,Espagne,20.8
1993,France,10.1
1993,Italie,9.7
1993,Lituanie,NaN
1993,Luxembourg,2.6
1994,Allemagne,8.4
1994,Estonie,NaN
1994,Irlande,14.3
1994,Grece,NaN
1994,Espagne,22
1994,France,10.4
1994,Italie,10.6
1994,Lituanie,NaN
1994,Luxembourg,3.2
1995,Allemagne,8.2
1995,Estonie,NaN
1995,Irlande,12.3
1995,Grece,NaN
1995,Espagne,20.7
1995,France,10.2
1995,Italie,11.2
1995,Lituanie,NaN
1995,Luxembourg,2.9
1996,Allemagne,8.9
1996,Estonie,NaN
1996,Irlande,11.7
1996,Grece,NaN
1996,Espagne,19.9
1996,France,10.5
1996,Italie,11.2
1996,Lituanie,NaN
1996,Luxembourg,2.9
1997,Allemagne,9.6
1997,Estonie,NaN
1997,Irlande,9.9
1997,Grece,NaN
1997,Espagne,18.4
1997,France,10.7
1997,Italie,11.2
1997,Lituanie,NaN
1997,Luxembourg,2.7
1998,Allemagne,9.4
1998,Estonie,NaN
1998,Irlande,7.5
1998,Grece,11.1
1998,Espagne,16.4
1998,France,10.3
1998,Italie,11.3
1998,Lituanie,13.2
1998,Luxembourg,2.7
1999,Allemagne,8.6
1999,Estonie,NaN
1999,Irlande,5.7
1999,Grece,12
1999,Espagne,13.6
1999,France,10
1999,Italie,10.9
1999,Lituanie,14.6
1999,Luxembourg,2.4
2000,Allemagne,7.9
2000,Estonie,14.6
2000,Irlande,4.3
2000,Grece,11.2
2000,Espagne,11.9
2000,France,8.6
